Details for  Ephrata; January 31, 2013 to December 31, 2013
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,
"2013-01-31",31.0,33.9,36.8,31.8,92.0,NA,31.5,31.5,0.01,1.79,0.01,0.01,
"2013-02-01",26.4,34.7,46.0,30.3,84.9,NA,31.6,31.6,0.00,9.31,0.03,0.04,
"2013-02-02",25.1,32.4,42.1,28.6,87.3,NA,31.7,31.7,0.00,9.11,0.02,0.03,
"2013-02-03",25.1,30.1,34.6,28.3,94.5,NA,31.7,31.7,0.00,3.00,0.01,0.02,
"2013-02-04",29.8,31.7,34.8,31.2,98.7,NA,31.7,31.8,0.00,3.20,0.01,0.01,
"2013-02-05",28.5,33.3,41.0,32.2,96.4,NA,31.8,31.8,0.00,5.14,0.02,0.02,
"2013-02-06",28.9,38.5,47.1,32.7,80.4,NA,31.8,31.8,0.00,7.16,0.03,0.05,
"2013-02-07",30.9,37.8,49.1,31.1,78.3,NA,31.8,32.1,0.00,9.24,0.04,0.06,
"2013-02-08",27.9,37.6,47.9,25.5,63.7,NA,31.9,32.4,0.00,10.85,0.04,0.06,
"2013-02-09",25.0,33.9,43.3,27.7,79.8,NA,31.9,32.1,0.00,7.43,0.03,0.04,
"2013-02-10",27.0,36.6,47.9,28.2,73.0,NA,31.9,32.8,0.00,10.86,0.04,0.06,
"2013-02-11",26.0,32.3,40.3,27.8,84.8,NA,32.1,32.6,0.00,8.68,0.03,0.04,
"2013-02-12",28.5,37.2,47.3,32.0,83.1,NA,32.2,33.0,0.00,7.25,0.04,0.05,
"2013-02-13",34.2,44.1,53.3,31.6,62.3,NA,33.5,35.2,0.00,8.48,0.07,0.11,
"2013-02-14",31.3,37.4,49.5,29.9,74.9,NA,33.7,35.6,0.00,9.47,0.05,0.07,
"2013-02-15",26.8,37.3,50.1,31.0,80.0,NA,34.2,36.5,0.00,11.58,0.04,0.05,
"2013-02-16",26.9,37.4,53.9,30.3,78.0,NA,34.9,37.0,0.00,10.74,0.05,0.08,
"2013-02-17",28.7,38.8,53.4,27.3,66.0,NA,35.0,37.3,0.00,12.21,0.06,0.10,
"2013-02-18",27.6,33.8,41.9,28.0,80.3,NA,35.1,36.3,0.00,6.56,0.03,0.05,
"2013-02-19",26.3,36.1,45.6,28.5,76.0,NA,34.4,35.9,0.00,9.69,0.04,0.05,
"2013-02-20",24.5,35.6,47.3,25.6,69.1,NA,34.9,36.6,0.00,10.93,0.04,0.06,
"2013-02-21",23.8,34.2,49.1,27.7,79.1,NA,34.5,35.9,0.00,8.46,0.05,0.07,
"2013-02-22",36.2,41.3,49.1,31.2,67.4,NA,35.4,36.2,0.00,3.84,0.07,0.11,
"2013-02-23",29.8,39.1,51.8,24.6,57.5,NA,34.9,36.9,0.00,12.95,0.09,0.14,
"2013-02-24",27.6,35.4,46.4,26.9,72.5,NA,35.3,36.6,0.00,7.14,0.04,0.06,
"2013-02-25",28.4,38.5,49.6,27.8,68.6,NA,35.2,36.7,0.00,9.91,0.07,0.11,
"2013-02-26",26.6,37.1,48.9,24.6,63.5,NA,35.1,37.3,0.00,12.11,0.06,0.09,
"2013-02-27",25.4,38.0,50.2,28.8,71.3,NA,35.8,38.1,0.00,10.80,0.05,0.08,
"2013-02-28",36.4,40.9,44.6,38.1,89.8,NA,38.3,39.4,0.09,3.72,0.02,0.03,
"2013-03-01",40.6,50.3,57.9,43.4,77.8,NA,39.6,41.1,0.00,6.19,0.06,0.10,
"2013-03-02",36.7,45.2,54.9,39.3,80.5,NA,40.5,41.8,0.00,5.07,0.05,0.07,
"2013-03-03",30.6,40.3,51.7,22.2,51.0,NA,38.9,41.7,0.00,16.02,0.10,0.16,
