"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2015/04/07","7","-191.3","-61.1","-49.5","-109.2","-107.9","0.0","0.0","0.0","NA","NA","0.00","12.30","0.00","0.00"
"2015/04/08","8","34.6","52.6","64.1","30.6","48.6","53.9","44.4","48.8","NA","NA","0.00","15.33","0.12","0.17"
"2015/04/09","9","27.7","44.4","63.0","33.6","70.1","48.0","44.2","47.7","NA","NA","0.00","20.23","0.11","0.14"
"2015/04/10","10","30.8","46.7","63.1","33.9","66.3","47.4","45.0","47.9","NA","NA","0.00","16.44","0.11","0.15"
"2015/04/11","11","38.9","49.1","56.0","26.7","43.4","49.4","46.8","48.7","NA","NA","0.00","18.07","0.14","0.19"
"2015/04/12","12","28.4","42.0","55.6","23.8","52.0","46.2","43.9","47.0","NA","NA","0.00","20.99","0.12","0.16"
"2015/04/13","13","30.6","46.7","62.1","31.6","60.1","47.9","45.0","47.7","NA","NA","0.07","16.47","0.11","0.15"
"2015/04/14","14","30.2","42.9","51.6","34.0","73.7","47.8","47.3","48.7","NA","NA","0.24","11.91","0.07","0.09"
"2015/04/15","15","24.8","41.6","59.5","26.6","61.5","45.6","42.9","46.5","NA","NA","0.00","24.90","0.13","0.17"
"2015/04/16","16","25.8","45.5","65.3","30.0","60.5","47.2","43.9","47.7","NA","NA","0.00","24.53","0.14","0.18"
"2015/04/17","17","30.3","52.2","73.4","35.1","58.5","50.3","45.5","49.6","NA","NA","0.00","24.57","0.16","0.22"
"2015/04/18","18","36.5","54.1","69.2","24.5","37.4","51.5","47.9","51.3","NA","NA","0.00","25.38","0.19","0.26"
"2015/04/19","19","36.1","53.1","72.8","29.9","46.8","52.0","47.7","51.5","NA","NA","0.00","24.94","0.19","0.26"
"2015/04/20","20","34.7","53.6","74.2","36.1","57.7","53.2","48.6","52.8","NA","NA","0.00","24.29","0.17","0.22"
"2015/04/21","21","34.0","54.7","75.6","39.5","62.4","54.1","49.9","53.5","NA","NA","0.00","19.19","0.14","0.19"
"2015/04/22","22","36.2","51.7","65.3","31.6","50.1","52.4","50.9","53.4","NA","NA","0.00","22.01","0.16","0.22"
"2015/04/23","23","29.5","43.1","52.5","31.0","64.2","47.4","48.4","50.5","NA","NA","0.00","10.89","0.07","0.10"
"2015/04/24","24","38.7","47.7","58.6","32.9","61.3","50.8","48.2","50.5","NA","NA","0.03","20.60","0.13","0.17"
"2015/04/25","25","31.9","40.0","47.9","35.5","84.5","46.7","47.5","49.3","NA","NA","0.03","11.26","0.06","0.07"
"2015/04/26","26","29.5","43.7","60.5","34.1","73.4","48.8","45.3","49.0","NA","NA","0.01","22.62","0.12","0.14"
"2015/04/27","27","28.4","49.1","68.5","34.8","64.5","51.2","46.7","50.8","NA","NA","0.00","24.17","0.14","0.18"
"2015/04/28","28","36.2","57.9","79.6","39.6","57.8","54.9","49.2","53.5","NA","NA","0.00","25.79","0.20","0.27"
"2015/04/29","29","39.9","56.5","66.7","33.7","45.7","56.6","53.4","56.3","NA","NA","0.00","24.37","0.17","0.23"
"2015/04/30","30","29.9","49.7","68.0","32.8","57.6","53.6","50.5","54.6","NA","NA","0.00","26.09","0.16","0.21"
"2015/05/01","1","46.2","59.6","75.0","37.0","47.0","57.2","53.1","56.3","NA","NA","0.00","22.71","0.19","0.26"
"2015/05/02","2","39.0","55.6","66.9","26.8","35.9","57.2","53.9","57.3","NA","NA","0.00","26.88","0.19","0.26"
"2015/05/03","3","33.1","51.5","72.2","28.6","47.4","55.4","52.0","56.1","NA","NA","0.00","27.06","0.20","0.28"
"2015/05/04","4","32.7","54.5","75.7","33.7","52.7","56.1","51.9","56.2","NA","NA","0.00","25.89","0.19","0.25"
"2015/05/05","5","40.3","52.4","64.2","31.1","46.8","55.7","53.1","56.3","NA","NA","0.00","23.56","0.17","0.24"
"2015/05/06","6","33.0","49.8","66.0","30.9","53.6","57.2","51.8","55.9","NA","NA","0.00","27.52","0.17","0.23"
"2015/05/07","7","37.3","55.1","70.9","29.0","42.0","58.2","52.7","56.7","NA","NA","0.00","28.34","0.21","0.29"
"2015/05/08","8","36.3","56.0","73.0","30.7","42.8","59.1","53.5","57.6","NA","NA","0.00","28.04","0.22","0.31"
"2015/05/09","9","33.2","54.1","74.7","31.4","50.6","59.6","53.6","58.0","NA","NA","0.00","27.90","0.19","0.25"
"2015/05/10","10","33.8","57.8","77.8","34.0","48.4","61.0","54.4","58.8","NA","NA","0.00","27.45","0.19","0.25"
"2015/05/11","11","46.8","61.3","74.0","40.7","48.4","63.2","57.6","60.7","NA","NA","0.01","25.28","0.19","0.25"
