"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2021/01/01","1","32.0","33.2","35.6","32.8","98.3","32.9","34.3","34.3","NA","NA","0.58","0.96","0.00","0.01"
"2021/01/02","2","34.8","38.1","40.6","35.5","90.3","32.9","34.1","34.2","NA","NA","0.35","1.28","0.01","0.02"
"2021/01/03","3","29.6","36.4","43.4","33.8","90.9","33.7","34.0","34.0","NA","NA","0.05","4.85","0.01","0.01"
"2021/01/04","4","30.4","32.5","34.7","32.1","98.7","33.1","34.0","34.0","NA","NA","0.53","0.79","0.00","0.00"
"2021/01/05","5","30.2","33.9","36.1","32.1","93.3","33.5","34.0","34.0","NA","NA","0.03","1.46","0.01","0.01"
"2021/01/06","6","33.5","35.7","38.1","35.2","98.1","34.5","34.1","34.1","NA","NA","0.34","1.17","0.00","0.01"
"2021/01/07","7","30.9","34.9","38.1","33.3","94.3","35.4","34.2","34.6","NA","NA","0.00","2.25","0.01","0.01"
"2021/01/08","8","29.4","32.2","35.9","29.8","91.6","34.2","34.8","35.0","NA","NA","0.00","2.99","0.01","0.02"
"2021/01/09","9","29.7","31.8","33.6","30.2","94.5","34.1","34.8","34.9","NA","NA","0.00","1.10","0.01","0.01"
"2021/01/10","10","30.0","33.1","40.5","31.3","93.3","34.9","35.0","35.3","NA","NA","0.00","3.29","0.01","0.02"
"2021/01/11","11","32.6","35.7","40.9","32.9","89.8","35.8","35.7","36.0","NA","NA","0.20","2.01","0.02","0.02"
"2021/01/12","12","32.1","36.4","44.6","36.0","98.1","35.6","35.9","36.2","NA","NA","0.99","0.74","0.01","0.01"
"2021/01/13","13","26.0","40.9","52.7","28.8","64.7","38.8","36.6","37.7","NA","NA","0.27","5.87","0.05","0.08"
"2021/01/14","14","20.4","28.0","36.6","21.8","80.7","34.1","35.5","36.3","NA","NA","0.00","5.56","0.01","0.01"
"2021/01/15","15","22.1","27.5","36.6","22.6","84.7","33.2","34.9","35.2","NA","NA","0.00","3.25","0.01","0.01"
"2021/01/16","16","22.9","28.8","32.1","23.9","83.8","32.9","34.6","34.7","NA","NA","0.00","2.04","0.01","0.02"
"2021/01/17","17","28.9","32.7","37.8","28.8","86.1","33.4","34.5","34.5","NA","NA","0.01","4.27","0.01","0.02"
"2021/01/18","18","22.2","29.9","37.3","26.5","88.7","34.2","34.4","34.4","NA","NA","0.00","5.58","0.01","0.01"
"2021/01/19","19","17.8","26.2","33.0","22.9","90.5","32.8","34.3","34.3","NA","NA","0.00","3.21","0.01","0.01"
"2021/01/20","20","27.5","31.3","35.3","26.6","83.7","32.8","34.2","34.2","NA","NA","0.00","4.05","0.02","0.03"
"2021/01/21","21","23.1","27.8","36.2","20.6","77.3","32.7","34.1","34.2","NA","NA","0.00","5.86","0.02","0.04"
"2021/01/22","22","16.9","23.3","32.7","14.6","73.7","32.5","33.9","34.0","NA","NA","0.00","7.53","0.01","0.02"
"2021/01/23","23","11.0","20.6","31.9","12.5","76.2","32.2","33.5","33.7","NA","NA","0.00","7.89","0.01","0.01"
"2021/01/24","24","21.8","25.2","28.7","17.5","75.7","32.1","33.4","33.4","NA","NA","0.00","2.03","0.01","0.01"
"2021/01/25","25","23.4","25.8","29.5","22.3","90.1","32.1","33.3","33.3","NA","NA","0.03","3.55","0.01","0.01"
"2021/01/26","26","20.7","26.2","31.6","23.2","91.5","32.1","33.2","33.3","NA","NA","0.00","2.62","0.01","0.01"
"2021/01/27","27","20.9","26.7","30.6","24.4","94.1","32.0","33.2","33.2","NA","NA","0.01","1.00","0.00","0.00"
"2021/01/28","28","28.4","31.9","35.9","30.3","94.4","32.1","33.2","33.2","NA","NA","0.34","5.14","0.01","0.01"
"2021/01/29","29","31.9","33.9","37.4","32.7","95.5","32.2","33.2","33.2","NA","NA","0.02","3.71","0.01","0.02"
"2021/01/30","30","32.0","34.4","37.7","32.9","94.5","32.3","33.2","33.2","NA","NA","0.02","2.71","0.01","0.02"
"2021/01/31","31","31.8","34.2","38.8","33.8","98.5","32.3","33.1","33.2","NA","NA","0.15","2.21","0.01","0.01"
"2021/02/01","1","33.1","36.5","41.9","36.2","98.8","32.4","33.1","33.1","NA","NA","0.11","3.72","0.01","0.02"
"2021/02/02","2","28.9","37.3","45.1","34.6","90.1","32.9","33.1","33.1","NA","NA","0.02","3.58","0.02","0.03"
"2021/02/03","3","25.5","32.1","43.6","27.6","85.9","33.6","33.1","33.2","NA","NA","0.00","8.67","0.02","0.04"
"2021/02/04","4","24.7","31.5","38.6","28.2","89.1","32.7","33.2","33.2","NA","NA","0.09","3.98","0.02","0.02"
"2021/02/05","5","25.5","35.3","48.4","29.3","82.4","34.6","33.3","33.3","NA","NA","0.03","8.38","0.03","0.05"
"2021/02/06","6","25.5","32.9","42.6","29.7","89.1","33.4","33.3","33.4","NA","NA","0.05","3.68","0.02","0.03"
"2021/02/07","7","25.9","31.0","36.7","21.4","70.7","33.2","33.4","33.4","NA","NA","0.00","5.79","0.03","0.04"
"2021/02/08","8","21.2","25.0","29.4","10.1","58.7","32.6","33.5","33.5","NA","NA","0.00","5.91","0.04","0.06"
"2021/02/09","9","9.8","17.3","24.2","-1.6","47.9","32.3","33.4","33.5","NA","NA","0.00","6.78","0.04","0.06"
"2021/02/10","10","12.6","19.7","27.2","3.4","53.6","32.1","33.2","33.3","NA","NA","0.00","8.20","0.04","0.06"
"2021/02/11","11","11.0","15.1","23.0","-6.3","42.0","31.7","32.8","33.0","NA","NA","0.00","7.77","0.05","0.08"
"2021/02/12","12","6.6","12.4","20.2","-7.7","45.0","30.0","32.4","32.5","NA","NA","0.00","4.68","0.03","0.05"
"2021/02/13","13","14.1","20.5","27.5","0.5","45.0","29.7","32.2","32.2","NA","NA","0.00","4.86","0.04","0.07"
"2021/02/14","14","13.1","20.4","26.7","8.1","63.9","29.8","32.1","32.1","NA","NA","0.00","5.56","0.02","0.03"
"2021/02/15","15","15.7","20.6","25.8","16.0","87.8","30.6","32.1","32.1","NA","NA","0.03","5.30","0.02","0.02"
"2021/02/16","16","14.9","21.8","27.0","18.0","90.5","30.8","32.1","32.1","NA","NA","0.00","4.38","0.01","0.02"
"2021/02/17","17","9.9","23.7","36.0","14.8","75.7","31.4","32.1","32.1","NA","NA","0.15","12.22","0.03","0.04"
"2021/02/18","18","4.0","17.5","27.7","10.8","81.8","30.0","32.0","32.1","NA","NA","0.00","6.09","0.02","0.03"
