"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/01/01","1","30.7","33.3","36.4","31.2","92.2","35.2","35.6","35.6","NA","-0.2","0.00","2.73","0.01","0.01"
"2023/01/02","2","23.4","32.1","34.9","26.8","81.3","35.2","35.6","35.6","NA","-0.2","0.00","4.49","0.01","0.01"
"2023/01/03","3","19.8","26.6","30.5","23.8","92.1","35.2","35.6","35.6","NA","-0.2","0.00","1.05","0.00","0.01"
"2023/01/04","4","19.3","27.1","33.5","22.7","86.5","35.2","35.6","35.7","NA","-0.2","0.00","3.01","0.01","0.02"
"2023/01/05","5","27.8","32.1","35.7","25.0","75.4","35.2","35.8","35.8","NA","-0.2","0.00","2.30","0.03","0.04"
"2023/01/06","6","21.4","28.7","35.5","25.6","90.1","35.2","35.6","35.7","NA","-0.2","0.00","2.68","0.01","0.01"
"2023/01/07","7","28.0","31.3","37.1","29.1","92.1","35.2","35.6","35.7","NA","-0.2","0.01","3.60","0.01","0.01"
"2023/01/08","8","32.6","33.7","35.1","33.0","97.3","35.1","35.6","35.6","NA","-0.2","0.35","1.31","0.01","0.01"
"2023/01/09","9","30.7","33.1","34.6","32.4","97.2","35.1","35.4","35.5","NA","-0.1","0.10","1.76","0.01","0.01"
"2023/01/10","10","30.8","34.7","38.8","32.8","92.9","35.1","35.4","35.4","NA","-0.1","0.00","6.48","0.00","0.01"
"2023/01/11","11","29.8","31.8","35.1","30.6","95.9","35.1","35.4","35.4","NA","-0.1","0.01","2.32","0.01","0.01"
"2023/01/12","12","29.6","32.5","34.6","31.9","98.1","35.0","35.2","35.4","NA","-0.1","0.25","1.47","0.00","0.01"
"2023/01/13","13","32.8","33.9","36.2","33.5","98.1","34.9","35.2","35.2","NA","-0.1","0.20","2.75","0.01","0.01"
"2023/01/14","14","32.5","34.3","36.1","33.9","98.5","34.9","35.1","35.2","NA","-0.1","0.01","2.22","0.01","0.01"
"2023/01/15","15","33.1","34.3","36.1","33.8","98.1","34.7","35.1","35.1","NA","0.0","0.07","3.27","0.01","0.01"
"2023/01/16","16","32.9","35.1","37.7","34.4","97.3","34.7","35.1","35.1","NA","0","0.02","2.78","0.01","0.01"
"2023/01/17","17","29.9","33.9","36.5","32.6","95.1","34.7","35.1","35.1","NA","0","0.00","1.92","0.01","0.01"
"2023/01/18","18","31.0","33.3","35.9","32.4","96.6","34.7","35.1","35.1","NA","0","0.28","2.64","0.01","0.01"
"2023/01/19","19","30.3","32.9","35.1","31.7","95.2","34.7","35.1","35.1","NA","0","0.02","5.14","0.01","0.01"
"2023/01/20","20","26.5","31.0","34.1","27.3","87.1","34.7","35.1","35.1","NA","0","0.00","3.29","0.01","0.02"
"2023/01/21","21","23.8","27.9","32.4","24.8","90.8","34.8","35.0","35.1","NA","-0.1","0.00","4.20","0.01","0.02"
"2023/01/22","22","14.9","25.2","29.4","22.6","93.2","34.9","35.1","35.1","NA","-0.1","0.05","4.76","0.00","0.01"
"2023/01/23","23","23.5","27.7","30.9","24.1","89.0","34.9","35.1","35.1","NA","-0.1","0.01","2.89","0.01","0.02"
"2023/01/24","24","28.8","30.6","33.6","26.4","85.2","34.9","35.1","35.1","NA","0.0","0.00","3.11","0.02","0.02"
"2023/01/25","25","30.0","32.0","34.6","28.3","86.4","35.0","35.1","35.1","NA","0","0.00","3.30","0.01","0.02"
