"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2019/01/01","1","19.9","25.9","32.0","20.4","83.0","32.9","34.3","34.3","NA","NA","0.00","2.89","0.01","0.01"
"2019/01/02","2","15.4","23.7","30.0","18.9","86.3","32.8","34.2","34.2","NA","NA","0.00","2.15","0.01","0.01"
"2019/01/03","3","29.9","37.1","41.3","30.0","75.7","32.8","34.2","34.2","NA","NA","0.01","0.80","0.02","0.03"
"2019/01/04","4","30.9","37.7","46.0","30.9","77.4","32.8","34.1","34.1","NA","NA","0.00","3.87","0.02","0.04"
"2019/01/05","5","29.3","32.5","38.9","30.3","92.3","32.9","34.1","34.1","NA","NA","0.01","3.26","0.01","0.01"
"2019/01/06","6","29.2","34.8","41.7","31.3","88.1","33.0","34.0","34.1","NA","NA","0.25","4.87","0.01","0.02"
"2019/01/07","7","20.1","30.0","38.2","26.7","89.5","33.0","34.0","34.1","NA","NA","0.05","4.11","0.01","0.01"
"2019/01/08","8","14.9","23.7","28.8","18.7","85.8","32.8","33.9","34.0","NA","NA","0.00","2.11","0.01","0.02"
"2019/01/09","9","27.1","30.2","32.5","28.0","92.6","32.8","33.9","33.9","NA","NA","0.01","1.51","0.01","0.01"
"2019/01/10","10","32.3","34.2","37.8","33.3","96.2","32.8","33.9","33.9","NA","NA","0.39","1.92","0.01","0.01"
"2019/01/11","11","31.1","33.7","39.1","33.0","97.4","32.9","33.9","33.9","NA","NA","0.00","4.33","0.01","0.01"
"2019/01/12","12","31.5","33.1","34.4","31.5","93.8","32.9","33.9","33.9","NA","NA","0.00","2.00","0.01","0.01"
"2019/01/13","13","28.6","30.8","32.3","27.4","88.0","32.9","33.9","33.9","NA","NA","0.00","1.84","0.01","0.02"
"2019/01/14","14","26.6","28.1","29.6","23.7","85.8","33.0","33.9","33.9","NA","NA","0.00","1.95","0.01","0.02"
"2019/01/15","15","20.6","26.1","30.9","20.9","83.6","32.9","33.9","33.9","NA","NA","0.00","3.79","0.02","0.02"
"2019/01/16","16","21.9","28.7","33.3","22.4","79.4","32.8","33.9","33.9","NA","NA","0.00","3.67","0.02","0.03"
"2019/01/17","17","29.7","32.0","34.1","29.4","90.7","32.8","33.9","33.9","NA","NA","0.14","1.94","0.01","0.02"
"2019/01/18","18","32.5","35.1","37.9","33.5","93.8","32.9","33.9","33.9","NA","NA","0.00","1.74","0.01","0.01"
"2019/01/19","19","31.8","34.8","40.1","34.3","98.1","33.2","33.8","33.9","NA","NA","0.09","2.12","0.01","0.01"
"2019/01/20","20","30.4","34.0","37.3","31.3","90.0","33.3","33.8","33.8","NA","NA","0.00","2.27","0.01","0.02"
"2019/01/21","21","21.5","29.0","40.0","23.0","81.8","33.3","33.8","33.8","NA","NA","0.00","7.52","0.02","0.03"
"2019/01/22","22","25.9","30.5","34.6","27.8","90.7","32.9","33.8","33.8","NA","NA","0.03","1.37","0.01","0.01"
"2019/01/23","23","20.2","30.4","38.0","28.5","94.4","32.9","33.8","33.8","NA","NA","0.29","3.33","0.01","0.01"
"2019/01/24","24","22.5","25.7","27.6","23.7","95.6","33.0","33.8","33.8","NA","NA","0.00","3.61","0.01","0.01"
"2019/01/25","25","26.0","29.9","34.5","27.3","91.7","33.0","33.8","33.8","NA","NA","0.06","4.81","0.01","0.02"
"2019/01/26","26","31.7","33.0","35.7","31.5","94.2","33.0","33.8","33.8","NA","NA","0.00","2.96","0.01","0.02"
"2019/01/27","27","26.0","31.9","35.3","30.8","96.7","33.1","33.8","33.8","NA","NA","0.00","3.60","0.01","0.01"
"2019/01/28","28","16.0","25.5","37.2","22.2","91.6","33.0","33.8","33.8","NA","NA","0.00","7.73","0.01","0.02"
"2019/01/29","29","15.1","23.8","34.6","19.0","86.6","32.8","33.8","33.8","NA","NA","0.00","8.50","0.02","0.03"
"2019/01/30","30","10.2","19.8","29.2","15.4","88.6","32.6","33.7","33.7","NA","NA","0.00","5.93","0.01","0.02"
"2019/01/31","31","24.9","28.6","34.5","24.5","86.6","32.6","33.6","33.7","NA","NA","0.00","4.36","0.01","0.02"
"2019/02/01","1","23.4","30.4","36.4","28.8","95.1","32.6","33.6","33.6","NA","NA","0.12","1.68","0.01","0.01"
"2019/02/02","2","34.3","36.3","39.0","34.2","92.2","32.6","33.5","33.6","NA","NA","0.01","4.62","0.02","0.02"
"2019/02/03","3","29.4","34.7","39.4","31.3","87.7","32.7","33.5","33.5","NA","NA","0.00","3.75","0.02","0.02"
