"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2016/01/01","1","-1.1","9.7","19.8","3.3","84.3","33.6","34.9","35.0","NA","NA","0.00","1.93","0.01","0.02"
"2016/01/02","2","-5.4","3.1","12.4","-3.8","83.1","33.1","34.6","34.7","NA","NA","0.00","2.16","0.01","0.01"
"2016/01/03","3","-0.4","11.0","22.1","5.7","87.8","32.9","34.5","34.6","NA","NA","0.00","0.59","0.01","0.02"
"2016/01/04","4","21.9","26.2","29.3","22.9","90.8","32.9","34.5","34.5","NA","NA","0.00","0.66","0.01","0.01"
"2016/01/05","5","25.3","29.4","34.6","26.8","91.7","33.1","34.5","34.5","NA","NA","0.04","0.94","0.01","0.02"
"2016/01/06","6","30.4","33.2","35.5","32.5","97.3","33.4","34.5","34.6","NA","NA","0.45","1.79","0.01","0.01"
"2016/01/07","7","33.4","34.4","36.1","34.1","98.9","33.7","34.6","34.6","NA","NA","0.10","1.72","0.01","0.01"
"2016/01/08","8","33.1","34.5","37.5","33.5","96.2","33.7","34.7","34.7","NA","NA","0.01","2.99","0.01","0.01"
"2016/01/09","9","32.2","33.9","38.5","33.1","97.1","33.7","34.7","34.7","NA","NA","0.00","3.08","0.01","0.01"
"2016/01/10","10","31.2","33.3","35.3","30.3","88.9","33.7","34.8","34.8","NA","NA","0.00","2.09","0.01","0.02"
"2016/01/11","11","28.2","30.0","32.4","27.3","91.1","33.8","34.8","34.8","NA","NA","0.00","1.50","0.01","0.01"
"2016/01/12","12","29.6","31.0","32.6","30.3","97.8","34.0","34.8","34.9","NA","NA","0.00","1.80","0.01","0.01"
"2016/01/13","13","31.6","34.5","37.4","34.4","99.8","33.9","34.8","34.9","NA","NA","0.54","1.38","0.00","0.00"
"2016/01/14","14","32.0","34.0","35.7","31.8","91.8","33.8","34.8","34.8","NA","NA","0.01","2.88","0.01","0.01"
"2016/01/15","15","30.8","32.1","34.2","27.6","83.8","33.9","34.8","34.8","NA","NA","0.00","2.34","0.02","0.02"
"2016/01/16","16","29.8","31.0","32.1","29.6","95.6","33.9","34.8","34.8","NA","NA","0.00","2.14","0.01","0.01"
"2016/01/17","17","31.0","32.5","35.2","32.0","98.5","34.0","34.9","34.9","NA","NA","0.12","2.51","0.01","0.01"
"2016/01/18","18","33.0","34.4","37.9","33.6","96.8","33.9","34.8","34.8","NA","NA","0.20","3.05","0.01","0.01"
"2016/01/19","19","32.8","33.9","35.3","33.6","98.7","33.9","34.7","34.8","NA","NA","0.42","1.91","0.01","0.01"
"2016/01/20","20","32.9","34.8","37.7","33.8","96.0","33.7","34.6","34.6","NA","NA","0.29","3.31","0.01","0.01"
"2016/01/21","21","32.8","34.1","35.8","33.9","99.5","33.6","34.5","34.5","NA","NA","0.23","1.56","0.01","0.01"
"2016/01/22","22","33.0","35.2","41.9","34.9","98.9","33.5","34.4","34.4","NA","NA","0.19","2.44","0.02","0.02"
"2016/01/23","23","32.8","34.9","37.0","34.7","99.2","33.5","34.3","34.4","NA","NA","0.27","1.45","0.00","0.01"
"2016/01/24","24","33.2","34.6","37.9","33.7","96.6","33.5","34.3","34.4","NA","NA","0.00","4.22","0.01","0.01"
"2016/01/25","25","33.1","34.0","35.7","32.0","92.4","33.5","34.4","34.4","NA","NA","0.00","2.89","0.01","0.02"
"2016/01/26","26","33.2","35.1","37.7","33.6","94.3","33.6","34.4","34.4","NA","NA","0.00","2.23","0.01","0.01"
"2016/01/27","27","34.3","35.3","37.1","35.1","99.1","33.7","34.4","34.4","NA","NA","0.02","1.63","0.01","0.01"
"2016/01/28","28","32.4","36.2","39.8","36.2","100.0","34.1","34.3","34.4","NA","NA","0.27","1.07","0.00","0.00"
"2016/01/29","29","30.2","32.8","35.6","32.8","99.7","33.1","34.1","34.2","NA","NA","0.21","1.83","0.01","0.01"
"2016/01/30","30","29.1","32.6","35.5","31.2","94.7","33.2","34.1","34.1","NA","NA","0.00","3.45","0.01","0.01"
"2016/01/31","31","29.1","31.8","35.4","30.6","95.8","33.3","34.1","34.2","NA","NA","0.01","4.05","0.01","0.01"
"2016/02/01","1","29.7","32.6","36.4","30.3","91.9","34.1","34.2","34.4","NA","NA","0.00","4.28","0.01","0.02"
"2016/02/02","2","18.0","29.3","36.8","26.0","89.9","34.7","34.4","34.8","NA","NA","0.00","7.91","0.01","0.01"
"2016/02/03","3","18.7","25.7","29.7","22.6","91.5","32.8","34.1","34.4","NA","NA","0.00","2.68","0.01","0.01"
"2016/02/04","4","28.4","32.7","36.4","30.9","94.1","32.6","34.0","34.0","NA","NA","0.12","3.32","0.01","0.02"
"2016/02/05","5","33.0","36.0","40.2","35.1","96.4","33.8","33.9","34.0","NA","NA","0.01","3.51","0.01","0.02"
"2016/02/06","6","25.2","35.3","44.0","30.3","83.4","34.3","34.2","34.6","NA","NA","0.00","4.81","0.02","0.03"
"2016/02/07","7","22.5","29.7","38.6","26.8","91.1","32.9","34.0","34.3","NA","NA","0.00","6.71","0.02","0.02"
"2016/02/08","8","26.6","33.6","45.2","29.0","85.5","33.7","33.9","34.1","NA","NA","0.00","9.02","0.03","0.05"
"2016/02/09","9","25.5","33.3","47.8","29.7","88.9","33.8","34.0","34.3","NA","NA","0.01","10.24","0.03","0.05"
"2016/02/10","10","25.8","31.7","38.3","30.5","96.3","33.2","34.1","34.3","NA","NA","0.00","4.30","0.02","0.02"
"2016/02/11","11","32.6","38.4","45.0","35.4","89.2","35.4","34.1","34.9","NA","NA","0.04","3.34","0.02","0.03"
"2016/02/12","12","36.8","40.3","46.2","39.4","96.8","38.3","36.3","37.2","NA","NA","0.01","3.23","0.02","0.02"
"2016/02/13","13","36.3","41.1","48.2","36.3","84.5","39.3","37.5","38.4","NA","NA","0.04","7.46","0.03","0.05"
"2016/02/14","14","36.8","40.1","43.0","38.7","95.0","39.4","38.4","39.0","NA","NA","0.01","2.68","0.01","0.02"
"2016/02/15","15","36.4","45.0","56.9","40.7","86.1","42.4","38.8","40.2","NA","NA","0.04","9.55","0.04","0.06"
"2016/02/16","16","33.3","41.4","53.8","38.0","88.7","41.6","40.1","41.3","NA","NA","0.00","6.63","0.03","0.04"
"2016/02/17","17","36.6","42.5","49.5","38.5","86.4","40.9","40.0","40.7","NA","NA","0.06","4.47","0.03","0.05"
"2016/02/18","18","38.2","42.8","52.5","38.4","85.5","41.5","40.7","41.3","NA","NA","0.20","5.68","0.04","0.06"
"2016/02/19","19","32.9","39.7","43.8","38.0","93.7","40.1","39.5","40.6","NA","NA","0.18","4.27","0.02","0.02"
"2016/02/20","20","28.1","38.3","48.4","33.1","82.8","40.7","39.7","40.8","NA","NA","0.00","10.67","0.04","0.05"
"2016/02/21","21","26.1","32.5","41.7","29.8","91.6","36.9","37.9","38.8","NA","NA","0.00","6.72","0.03","0.04"
"2016/02/22","22","27.6","34.4","47.1","30.4","87.0","36.8","37.0","38.0","NA","NA","0.00","8.90","0.03","0.04"
"2016/02/23","23","21.6","33.3","51.9","27.0","81.5","35.9","36.5","37.5","NA","NA","0.00","13.12","0.05","0.06"
"2016/02/24","24","28.5","36.1","51.3","29.5","79.3","35.7","36.2","37.0","NA","NA","0.00","9.03","0.05","0.07"
"2016/02/25","25","28.5","38.2","55.2","30.9","78.0","36.7","36.1","37.1","NA","NA","0.00","12.23","0.06","0.09"
"2016/02/26","26","30.1","41.6","57.2","34.6","78.5","37.8","36.3","37.5","NA","NA","0.00","11.03","0.06","0.08"
"2016/02/27","27","34.6","44.7","58.2","40.4","85.4","41.3","38.8","39.9","NA","NA","0.02","9.07","0.05","0.06"
"2016/02/28","28","31.5","40.7","58.3","36.9","88.1","39.0","38.4","39.6","NA","NA","0.16","6.37","0.05","0.08"
"2016/02/29","29","33.1","40.8","55.3","32.2","74.4","39.4","38.1","39.5","NA","NA","0.00","12.96","0.06","0.09"
"2016/03/01","1","34.6","38.1","42.4","37.2","96.6","37.6","38.2","38.7","NA","NA","0.52","2.09","0.01","0.01"
"2016/03/02","2","35.5","43.8","55.0","38.1","82.1","40.3","37.6","39.2","NA","NA","0.00","10.07","0.05","0.07"
"2016/03/03","3","37.4","45.2","59.9","38.7","80.5","42.6","39.8","41.3","NA","NA","0.00","12.56","0.07","0.10"
"2016/03/04","4","33.3","44.4","64.2","38.4","82.5","41.6","39.3","41.2","NA","NA","0.00","12.32","0.07","0.10"
