"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2020/01/01","1","27.4","35.3","41.8","33.5","93.6","34.1","34.7","34.7","NA","NA","0.00","2.49","0.01","0.01"
"2020/01/02","2","24.3","30.2","37.1","27.9","92.6","33.4","34.6","34.7","NA","NA","0.01","4.33","0.00","0.01"
"2020/01/03","3","31.7","35.4","43.8","33.8","94.1","34.0","34.6","34.6","NA","NA","0.04","3.23","0.01","0.02"
"2020/01/04","4","27.6","37.8","46.1","25.1","64.4","35.1","34.6","34.7","NA","NA","0.01","5.96","0.03","0.06"
"2020/01/05","5","27.4","32.9","38.4","29.5","87.8","33.9","34.6","34.7","NA","NA","0.02","2.49","0.01","0.02"
"2020/01/06","6","28.2","31.9","33.4","30.7","95.8","33.4","34.5","34.5","NA","NA","0.17","0.90","0.00","0.00"
"2020/01/07","7","32.3","37.9","45.2","35.5","91.1","34.5","34.4","34.5","NA","NA","0.08","1.54","0.01","0.02"
"2020/01/08","8","30.5","37.2","43.1","30.4","77.6","35.9","34.8","35.3","NA","NA","0.00","3.51","0.02","0.03"
"2020/01/09","9","17.5","26.3","33.9","14.7","64.6","33.8","34.8","35.1","NA","NA","0.00","4.50","0.02","0.04"
"2020/01/10","10","16.9","24.6","29.4","21.5","91.8","33.1","34.4","34.6","NA","NA","0.00","1.07","0.01","0.01"
"2020/01/11","11","26.5","29.0","32.1","27.2","94.8","33.0","34.2","34.3","NA","NA","0.03","1.54","0.01","0.01"
"2020/01/12","12","28.4","32.2","34.6","30.3","93.2","33.0","34.2","34.2","NA","NA","0.15","1.27","0.01","0.01"
"2020/01/13","13","11.3","16.0","30.3","6.0","70.2","33.0","34.1","34.2","NA","NA","0.00","4.37","0.04","0.07"
"2020/01/14","14","10.5","12.5","15.3","4.5","77.4","33.0","34.1","34.1","NA","NA","0.00","3.56","0.02","0.03"
"2020/01/15","15","8.3","14.4","18.6","7.5","81.1","33.0","34.1","34.1","NA","NA","0.00","5.38","0.01","0.02"
"2020/01/16","16","18.7","23.6","26.8","19.8","89.7","33.0","34.1","34.1","NA","NA","0.00","3.18","0.01","0.02"
"2020/01/17","17","22.0","23.9","25.5","19.4","87.1","33.1","34.1","34.1","NA","NA","0.00","3.20","0.01","0.02"
"2020/01/18","18","20.5","24.8","28.8","21.7","91.7","33.1","34.1","34.1","NA","NA","0.00","2.33","0.01","0.02"
"2020/01/19","19","27.7","30.7","34.1","28.7","93.8","33.2","34.1","34.1","NA","NA","0.16","3.91","0.01","0.02"
"2020/01/20","20","28.4","30.4","33.4","29.5","97.6","33.2","34.1","34.1","NA","NA","0.10","4.17","0.01","0.01"
"2020/01/21","21","29.9","32.7","36.0","31.5","96.2","33.3","34.1","34.1","NA","NA","0.29","1.86","0.01","0.01"
"2020/01/22","22","32.5","34.9","38.4","32.3","90.3","33.4","34.1","34.1","NA","NA","0.21","3.17","0.01","0.02"
"2020/01/23","23","32.9","33.9","36.6","33.5","98.5","33.4","34.1","34.1","NA","NA","0.34","1.96","0.01","0.01"
"2020/01/24","24","32.3","35.9","42.2","35.2","97.5","33.3","33.9","34.0","NA","NA","0.17","2.74","0.01","0.02"
"2020/01/25","25","31.4","33.9","36.4","33.7","99.2","33.4","33.9","34.0","NA","NA","0.05","2.36","0.01","0.01"
"2020/01/26","26","33.2","34.8","37.9","34.6","99.2","33.6","34.0","34.0","NA","NA","0.07","2.71","0.01","0.01"
"2020/01/27","27","32.0","34.9","40.1","33.8","96.0","33.9","34.0","34.1","NA","NA","0.01","3.87","0.01","0.02"
"2020/01/28","28","32.1","34.0","36.8","33.5","98.2","33.9","34.1","34.2","NA","NA","0.27","2.73","0.01","0.01"
"2020/01/29","29","32.2","35.3","38.5","35.0","99.0","34.3","34.2","34.3","NA","NA","0.08","1.50","0.01","0.01"
"2020/01/30","30","33.0","35.5","39.5","34.2","95.1","34.8","34.3","34.5","NA","NA","0.00","3.11","0.01","0.02"
"2020/01/31","31","36.3","43.0","52.8","40.7","92.2","36.9","34.8","35.4","NA","NA","0.04","1.29","0.02","0.03"
"2020/02/01","1","37.3","48.5","56.8","32.5","55.9","40.5","36.8","38.3","NA","NA","0.01","4.28","0.08","0.13"
