"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2017/01/01","1","16.5","22.0","25.2","18.2","90.8","31.9","33.5","33.5","NA","NA","0.00","0.36","0.01","0.01"
"2017/01/02","2","-3.2","7.3","18.1","-0.5","79.4","31.9","33.5","33.5","NA","NA","0.00","1.11","0.01","0.02"
"2017/01/03","3","-4.4","6.2","15.0","-2.8","75.2","31.9","33.5","33.5","NA","NA","0.00","0.88","0.02","0.03"
"2017/01/04","4","-6.1","3.5","14.4","-6.0","73.9","31.9","33.5","33.5","NA","NA","0.00","2.44","0.02","0.03"
"2017/01/05","5","-15.9","-5.8","5.4","-13.8","80.5","31.8","33.5","33.5","NA","NA","0.00","3.73","0.01","0.01"
"2017/01/06","6","-5.1","3.0","17.4","-4.5","81.4","31.8","33.5","33.5","NA","NA","0.00","5.59","0.01","0.02"
"2017/01/07","7","-10.3","5.2","15.9","-1.4","83.6","31.8","33.4","33.5","NA","NA","0.00","3.82","0.01","0.01"
"2017/01/08","8","13.3","19.8","24.2","15.5","89.3","31.8","33.4","33.4","NA","NA","0.00","2.90","0.01","0.02"
"2017/01/09","9","22.2","25.2","26.5","22.0","91.5","31.9","33.4","33.4","NA","NA","0.00","1.80","0.01","0.01"
"2017/01/10","10","11.8","21.5","26.7","13.6","76.3","31.9","33.4","33.4","NA","NA","0.00","4.39","0.02","0.03"
"2017/01/11","11","-9.8","7.5","18.2","-3.6","68.9","31.9","33.4","33.4","NA","NA","0.00","6.97","0.02","0.03"
"2017/01/12","12","-14.7","-4.5","10.8","-12.6","79.8","31.9","33.4","33.4","NA","NA","0.00","5.70","0.01","0.02"
"2017/01/13","13","-11.8","3.0","15.4","-4.8","79.6","31.9","33.4","33.4","NA","NA","0.00","4.52","0.01","0.01"
"2017/01/14","14","5.0","16.2","24.2","9.2","80.6","31.9","33.4","33.4","NA","NA","0.00","6.11","0.01","0.02"
"2017/01/15","15","-0.8","6.7","18.1","0.7","86.1","31.9","33.4","33.4","NA","NA","0.00","5.71","0.01","0.01"
"2017/01/16","16","-4.0","6.2","16.3","-0.4","84.0","32.0","33.4","33.4","NA","NA","0.00","5.86","0.01","0.01"
"2017/01/17","17","13.3","22.3","29.5","16.7","83.4","32.0","33.3","33.4","NA","NA","0.00","2.97","0.01","0.02"
"2017/01/18","18","26.6","31.8","34.7","31.1","98.1","32.0","33.3","33.3","NA","NA","0.33","0.44","0.00","0.00"
"2017/01/19","19","33.1","35.8","39.6","34.0","93.2","32.0","33.2","33.3","NA","NA","0.52","3.37","0.01","0.02"
"2017/01/20","20","29.4","33.2","39.7","31.8","95.0","32.0","33.2","33.2","NA","NA","0.08","5.87","0.01","0.02"
"2017/01/21","21","30.5","33.2","38.0","31.7","94.4","32.0","33.2","33.2","NA","NA","0.06","2.94","0.01","0.01"
"2017/01/22","22","32.2","33.3","36.8","32.7","97.6","32.0","33.2","33.3","NA","NA","0.32","4.90","0.01","0.01"
"2017/01/23","23","29.9","33.6","38.3","32.2","95.1","32.1","33.2","33.2","NA","NA","0.00","3.91","0.01","0.01"
"2017/01/24","24","31.4","33.0","35.3","31.2","93.0","32.1","33.2","33.3","NA","NA","0.00","4.45","0.01","0.01"
"2017/01/25","25","29.4","31.4","33.7","28.4","89.2","32.2","33.3","33.3","NA","NA","0.01","3.15","0.01","0.02"
"2017/01/26","26","27.8","31.3","35.8","27.2","86.0","32.2","33.3","33.3","NA","NA","0.00","4.58","0.01","0.02"
"2017/01/27","27","27.4","29.8","32.2","25.6","85.8","32.3","33.3","33.4","NA","NA","0.00","2.82","0.02","0.02"
"2017/01/28","28","19.2","29.0","34.3","25.6","89.2","32.3","33.4","33.4","NA","NA","0.00","4.59","0.01","0.01"
"2017/01/29","29","13.7","23.3","34.4","18.7","87.7","32.4","33.4","33.4","NA","NA","0.00","6.02","0.02","0.03"
"2017/01/30","30","25.3","27.8","30.3","23.9","87.9","32.4","33.4","33.5","NA","NA","0.00","3.70","0.01","0.02"
"2017/01/31","31","16.1","25.6","33.6","12.7","62.7","32.5","33.5","33.5","NA","NA","0.00","8.61","0.03","0.06"
"2017/02/01","1","8.4","17.6","28.8","5.1","63.3","32.6","33.6","33.6","NA","NA","0.00","9.41","0.03","0.06"
